frequency_hz,eta,gain,eta_g,lcoe_per_mwh,f_recirc,p_net_mw,power_positive,viable,attractive
1.0,0.06,60.0,3.6,nan,0.5787037037037038,-1.3600000000000012,False,False,False
1.0,0.06,65.0,3.9,nan,0.5341880341880342,-0.6400000000000006,False,False,False
1.0,0.06,70.0,4.2,26385.50358082622,0.49603174603174605,0.08000000000000007,True,False,False
1.0,0.06,75.0,4.5,2665.611404780252,0.462962962962963,0.8000000000000007,True,False,False
1.0,0.06,80.0,4.8,1417.196027093624,0.4340277777777778,1.5199999999999991,True,False,False
1.0,0.06,85.0,5.1,971.3333922055403,0.4084967320261438,2.24,True,False,False
1.0,0.06,90.0,5.4,742.3769040197687,0.38580246913580246,2.959999999999998,True,False,False
1.0,0.06,95.0,5.7,603.0120851240812,0.36549707602339176,3.6799999999999984,True,False,False
1.0,0.06,100.0,6.0,509.25757059425496,0.3472222222222222,4.3999999999999995,True,False,False
1.0,0.06,105.0,6.3,441.8715132759425,0.3306878306878307,5.12,True,False,False
1.0,0.06,110.0,6.6,391.1011961183099,0.3156565656565657,5.839999999999998,True,False,False
1.0,0.06,115.0,6.9,351.4755827269867,0.30193236714975846,6.559999999999999,True,False,False
1.0,0.06,120.0,7.2,319.68800275372763,0.2893518518518519,7.279999999999998,True,False,False
1.0,0.06,125.0,7.5,293.62218717565503,0.2777777777777778,7.999999999999998,True,False,False
1.0,0.06,130.0,7.8,271.8608182068055,0.2670940170940171,8.719999999999999,True,False,False
1.0,0.06,135.0,8.1,253.4189800976109,0.257201646090535,9.44,True,False,False
1.0,0.06,140.0,8.4,237.5909458149164,0.24801587301587302,10.16,True,False,False
1.0,0.06,145.0,8.7,223.85779842257864,0.23946360153256704,10.879999999999995,True,False,False
1.0,0.06,150.0,9.0,211.82945553411702,0.2314814814814815,11.600000000000001,True,False,False
1.0,0.06,155.0,9.3,201.2070228533979,0.22401433691756276,12.319999999999999,True,False,False
1.0,0.06,160.0,9.6,191.75761954846362,0.2170138888888889,13.039999999999997,True,False,False
1.0,0.06,165.0,9.9,183.29710728706897,0.2104377104377104,13.759999999999998,True,False,False
