case_id,arm_id,I_coil_A,n_e0,T_i0_keV,p_input_MW,source,p_net_MW,rec_frac,q_eng,p_aux_required_MW,p_input_installed_MW,tau_E_s,p_rad_MW,n_He0,n_D0,W_th_MJ,beta_limit,wall_load_limit,B_max_T,sigma_allow_Pa,recirc_threshold
20260901-sustainment-fence:c0051,arm-grid-I-ne,13000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1315.890121299905,0.22205702392208196,4.503347754272759,204.16095003297823,50.0,0.9612818448246977,318.54808132662043,5.979775367459807e+19,2.4380224632540194e+20,667.41105085123,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0052,arm-grid-I-ne,13000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1549.3032581901437,0.1981378012328816,5.0469925162066795,203.4179019767339,50.0,0.9513100325277161,372.4577692332887,6.784777377856262e+19,2.610522262214374e+20,721.210067211719,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0053,arm-grid-I-ne,13000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1794.0435299398,0.17871737643592367,5.59542681267221,201.53841143846194,50.0,0.9422719544856474,430.6394408040827,7.620788885074415e+19,2.7799211114925585e+20,774.825205855599,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0054,arm-grid-I-ne,14000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,174.17322975544838,0.6614522850084738,1.5118248476338534,127.87516955401102,50.0,1.249579614505341,86.21650626951316,2.2024576525412553e+19,1.2977542347458745e+20,338.37476714071835,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0055,arm-grid-I-ne,14000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,315.98595914251314,0.5217192295450275,1.9167397775850892,135.0522768559199,50.0,1.2230397951787488,114.66896828326622,2.8329218811039285e+19,1.487707811889607e+20,393.20874414471945,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0056,arm-grid-I-ne,14000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,472.4584360192964,0.4252206382974494,2.351720283389637,139.6276462386623,50.0,1.200956574205189,147.35854193829556,3.5155297024442266e+19,1.6724470297555773e+20,447.733524103994,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0057,arm-grid-I-ne,14000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,642.5189190576614,0.355743095430802,2.81101731233605,142.05602449423975,50.0,1.1821514732469607,184.2949836558364,4.245473153000023e+19,1.8524526846999976e+20,501.97761690912216,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0058,arm-grid-I-ne,14000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,825.2374763008623,0.30399175743172796,3.2895628764690605,142.7428377761945,50.0,1.165845943322434,225.48529309121935,5.018701795597623e+19,2.0281298204402378e+20,555.9650405292781,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0059,arm-grid-I-ne,14000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1019.7994220694458,0.26434737160507793,3.7829012406219467,142.05052431116678,50.0,1.151501097017332,270.9346856584204,5.831753924929672e+19,2.199824607507033e+20,609.7163219169355,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0060,arm-grid-I-ne,14000000.0,6.072e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1225.4851165193877,0.23325638027550424,4.287128175524622,140.30427366578044,50.0,1.1387298831181545,320.647165717874,6.681636137226716e+19,2.3678363862773285e+20,663.2492111263173,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0061,arm-grid-I-ne,14000000.0,6.578e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1441.6543284125105,0.20838386008449586,4.798836145920889,137.79699429835182,50.0,1.1272458105163377,374.62588375315164,7.565734191193583e+19,2.532426580880642e+20,716.5792098833232,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0062,arm-grid-I-ne,14000000.0,7.084e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,1667.7338560199248,0.18814448685487667,5.31506405909911,134.7935677627769,50.0,1.1168314580984464,432.8733691536268,8.481745837386718e+19,2.6938254162613282e+20,769.7199698886948,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0063,arm-grid-I-ne,15000000.0,3.036e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,155.79880524489104,0.6855909612886931,1.458595659021405,98.79270865515846,50.0,1.4604422795145584,87.98809813675224,2.4693335974955508e+19,1.2710666402504448e+20,336.7922667970914,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0064,arm-grid-I-ne,15000000.0,3.542e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,289.7157091487918,0.5427377882518124,1.842510364389872,102.32461622376707,50.0,1.4302042151941596,116.5567967760488,3.166069066211424e+19,1.4543930933788577e+20,391.23327372530326,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0065,arm-grid-I-ne,15000000.0,4.048e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,436.8476238221027,0.44369760647044726,2.2537872312516196,103.84883880439901,50.0,1.4050446088345017,149.35273697573277,3.917580373417982e+19,1.6322419626582016e+20,445.3494751216836,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0066,arm-grid-I-ne,15000000.0,4.554e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,596.1494802783824,0.37214298433425763,2.687139196749718,103.82998667688037,50.0,1.383615446274889,186.38760366975873,4.71847685891542e+19,1.805152314108458e+20,499.17283610628095,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0067,arm-grid-I-ne,15000000.0,5.06e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,766.7243083598967,0.3186787235986649,3.137956587460706,102.67457725061354,50.0,1.3650275222435873,227.66978050350951,5.5642562871021945e+19,1.9735743712897807e+20,552.7300536876538,0.05,4.05,24.9,800000000.0,0.5
20260901-sustainment-fence:c0068,arm-grid-I-ne,15000000.0,5.566e+20,14.63,50.0,oracle (verify_stellaris via oracle_entry); bounds from generated/inputs,947.79391289238,0.27760647052230475,3.602221512051007,100.7404439875487,50.0,1.3486662060088914,273.20551433284004,6.4511012546273935e+19,2.1378898745372606e+20,606.0437640090321,0.05,4.05,24.9,800000000.0,0.5
